food_name,cuisine,fiber_g,fat_g,protein_g,carbs_g,sugar_g,GI,GL
Apple Blueberry muffin,american,1.1,16.07,4.49,53.0,31.47,49.0,15.0
"Apple juice, unsweetened",american,0.2,0.13,0.1,11.3,9.62,39.0,8.0
Apricot fruit spread (Cottees),american,0.3,0.2,0.7,64.4,43.4,50.0,8.0
"Apricot fruit spread, no added sugar",american,0.0,0.0,0.0,44.44,38.89,43.0,6.0
"Apricot, coconut and honey muffin",american,1.1,16.1,4.49,53.0,31.5,60.0,18.0
Baked Beans in Barbecue sauce (Heinz),american,5.6,0.0,4.8,24.8,12.0,47.0,7.0
Baked Beans in Cheesy Tomato sauce (Heinz),american,3.8,0.38,4.62,20.0,6.92,44.0,7.0
Baked Beans in Tomato sauce (Heinz),american,3.8,0.38,4.62,20.0,6.92,40.0,6.0
"Banana, oat and honey muffin",american,1.1,16.1,4.49,53.0,31.5,65.0,20.0
Bran Flakes (Kellogg's),american,20.5,2.42,9.65,75.0,15.3,74.0,15.0
"Brown rice, instant (Uncle Ben's)",american,4.2,3.12,8.33,75.0,0.0,48.0,22.0
"Burger Buns, 100% Whole wheat",american,6.1,4.38,12.4,44.9,5.92,62.0,9.0
Capilano Premium Honey,american,0.2,0.0,0.3,82.4,82.12,51.0,3.0
"Carrots, diced, frozen",american,3.3,0.68,0.58,7.73,4.08,31.0,3.0
"Carrots, unpeeled, boiled",american,3.0,0.18,0.76,8.22,3.45,32.0,3.0
Cheddar Cheese Crackers (Combos),american,3.6,25.0,7.14,64.29,14.29,54.0,14.0
Cheddar Cheese Pretzels (Combos),american,3.6,17.86,7.14,67.86,14.29,52.0,13.0
"Cheese Puffs, rice and corn (Pirate's Booty)",american,0.0,17.86,7.14,71.43,0.0,70.0,18.0
Chocolate cake (Betty Crocker),american,1.7,15.0,3.49,51.2,36.0,38.0,11.0
Chocolate covered almonds (Cocoavia),american,10.4,37.07,9.51,50.22,26.92,21.0,5.0
Chunky Roast Chicken and Vegetable soup (Campbell's),american,0.8,0.41,2.04,5.71,1.22,52.0,10.0
Cornflakes,american,3.5,1.6,6.4,79.5,9.44,66.0,13.0
Cranberry Raisin muffin,american,1.1,16.1,4.49,53.0,31.5,43.0,13.0
