food_name,fdc_id,fiber_g,fat_g,protein_g,carbs_g,sugar_g
White bread,2707598,2.3,3.59,9.43,49.2,5.34
"Burger Buns, 100% Whole wheat",2707751,6.1,4.38,12.4,44.9,5.92
Doughnut,2708062,1.8,22.9,5.52,49.5,23.5
"Rye bread, Pumpernickel",174918,6.5,3.1,8.7,47.5,0.53
"Multigrain bread, gluten-free",2707797,4.3,5.24,4.31,45.8,3.53
Multigrain batch bread,2707777,7.4,4.23,13.4,43.3,6.39
"White sourdough bread, gluten free",174100,4.3,5.24,4.31,45.78,3.53
Oat bran concentrate bread,172676,4.5,4.4,10.4,39.8,7.7
Fruit and Muesli bread (Bürgen),2440339,10.0,5.0,6.67,35.0,8.33
Muesli bread (packet mix),2440339,10.0,5.0,6.67,35.0,8.33
"Oats, rolled, uncooked",173904,10.1,6.52,13.15,67.7,0.99
Weet-Bix breakfast biscuit,173910,12.4,2.01,11.37,78.96,0.94
Rice Bubbles (Kellogg's),2708455,0.4,1.21,6.96,79.8,9.85
Cornflakes,2708453,3.5,1.6,6.4,79.5,9.44
Bran Flakes (Kellogg's),2708456,20.5,2.42,9.65,75.0,15.3
Chocolate cake (Betty Crocker),2707867,1.7,15.0,3.49,51.2,36.0
"Danish Pastry, Apple and Peach",2708060,1.9,18.5,5.4,47.8,27.5
Apple Blueberry muffin,172765,1.1,16.07,4.49,53.0,31.47
"Banana, oat and honey muffin",2707830,1.1,16.1,4.49,53.0,31.5
Cranberry Raisin muffin,2707830,1.1,16.1,4.49,53.0,31.5
"Pizza base, oven-baked (Boboli)",560943,1.2,1.18,7.06,48.24,1.18
"French Fries, baked (OreIda)",2709460,2.0,5.48,2.75,25.6,0.37
Cheddar Cheese Crackers (Combos),2672832,3.6,25.0,7.14,64.29,14.29
Cheddar Cheese Pretzels (Combos),2499998,3.6,17.86,7.14,67.86,14.29
"Soft pretzel, wheat",169064,1.7,3.1,8.2,69.39,0.25
"Microwave popcorn, butter flavor",2708227,10.2,30.6,9.13,55.0,0.61
"Cheese Puffs, rice and corn (Pirate's Booty)",1892305,0.0,17.86,7.14,71.43,0.0
"Ice cream, premium chocolate, 15% fat",2705632,1.2,11.0,3.8,28.2,25.4
"Milk, reduced fat",2705386,0.0,1.9,3.36,4.9,4.89
"Yoghurt, Greek style, honey topped",2008886,0.0,0.0,8.0,14.0,12.67
"Yoghurt, black cherry",2069963,0.0,3.0,3.33,13.33,10.0
"Yoghurt, bourbon vanilla",170888,0.0,1.25,4.93,13.8,13.8
"Yoghurt, natural, no added sugar",171284,0.0,3.25,3.47,4.66,4.66
"Custard apple, raw",173953,3.0,0.68,1.57,17.71,12.87
"Pineapple, raw",2346398,0.93,0.21,0.46,14.09,11.42
"Grapes, Crimson seedless",174683,0.9,0.16,0.72,18.1,15.48
"Grapes, green, Menidee, seedless",174683,0.9,0.16,0.72,18.1,15.48
"Watermelon, raw",167765,0.4,0.15,0.61,7.55,6.2
Orange juice,169099,0.3,0.15,0.68,11.01,8.76
"Sweet corn, cooked in microwave",169999,2.4,1.5,3.41,20.98,4.54
"Carrots, unpeeled, boiled",170394,3.0,0.18,0.76,8.22,3.45
"Carrots, diced, frozen",169984,3.3,0.68,0.58,7.73,4.08
"Peas, plain and frozen",170017,4.5,0.27,5.15,14.26,4.4
Hommus dip,174289,5.5,17.82,7.78,15.0,0.62
Baked Beans in Cheesy Tomato sauce (Heinz),1624816,3.8,0.38,4.62,20.0,6.92
Baked Beans in Barbecue sauce (Heinz),2246973,5.6,0.0,4.8,24.8,12.0
Baked Beans in Tomato sauce (Heinz),1624816,3.8,0.38,4.62,20.0,6.92
Manuka honey MGO 440+,169640,0.2,0.0,0.3,82.4,82.12
Capilano Premium Honey,169640,0.2,0.0,0.3,82.4,82.12
Mixed Grain bread roll (Bürgen),2707782,3.8,6.0,9.6,44.6,6.25
"Brown rice, instant (Uncle Ben's)",2108264,4.2,3.12,8.33,75.0,0.0
Peanut Butter Granola bars (Kudos),173133,2.6,20.78,5.88,64.69,44.29
Chocolate covered almonds (Cocoavia),170670,10.4,37.07,9.51,50.22,26.92
Raisins,2709212,4.5,0.25,3.3,79.3,65.2
"Strawberries, fresh, raw",167762,2.0,0.3,0.67,7.68,4.89
"Apricot, coconut and honey muffin",2707830,1.1,16.1,4.49,53.0,31.5
"Fruit Salad, canned (peach/pear/apricot/pineapple/cherry)",173028,1.0,0.07,0.39,18.91,17.91
"Maple syrup, pure Canadian",170276,0.0,0.0,0.0,67.38,59.92
"Apricot fruit spread, no added sugar",2439868,0.0,0.0,0.0,44.44,38.89
Apricot fruit spread (Cottees),170645,0.3,0.2,0.7,64.4,43.4
"Apple juice, unsweetened",173933,0.2,0.13,0.1,11.3,9.62
"Tomato soup, condensed, prepared with water (Campbell's)",2709757,0.9,0.41,0.65,3.64,2.01
Chunky Roast Chicken and Vegetable soup (Campbell's),2773605,0.8,0.41,2.04,5.71,1.22
