food_name,fiber_g,fat_g,protein_g,carbs_g,sugar_g
Basmati rice (Dreamrice),2.81,0.52,7.94,78.24,0.69
Basmati rice (Laila),2.81,0.52,7.94,78.24,0.69
"Basmati rice (microwave), with coconut sambol - India",3.76,5.63,7.43,69.25,1.38
"Basmati rice (microwave), with coconut sambol - Pakistan",3.76,5.63,7.43,69.25,1.38
"Basmati rice (rice cooker), with coconut sambal",3.76,5.63,7.43,69.25,1.38
"Basmati rice (rice cooker), with coconut sambol",3.76,5.63,7.43,69.25,1.38
"Basmati rice pilau, with onion and curry powder",2.81,0.52,7.94,78.24,0.69
"Basmati rice, white, boiled (Mahatma)",2.81,0.52,7.94,78.24,0.69
"Basmati rice, white, boiled (SunRice)",2.81,0.52,7.94,78.24,0.69
"Basmati rice, white, polished, cooked 10 min",2.81,0.52,7.94,78.24,0.69
"Broken wheat upma, with green gram, chutney",8.18,14.58,11.6,54.37,1.37
Butter chicken,0.32,13.76,10.87,4.72,4.32
Butter paneer (paneer makhani),0.59,21.28,7.69,5.39,4.93
Chana masala,5.56,4.43,3.99,12.61,1.79
"Chapati, flatbread",11.36,1.53,10.57,64.17,1.8
"Chapati, flatbread with 10% fenugreek",14.98,1.95,12.05,58.81,1.68
Chapatti,11.36,1.53,10.57,64.17,1.8
Chapatti (Elephant Atta Medium flour),11.36,1.53,10.57,64.17,1.8
"Chapatti, wheat flour, thin, with green gram dhal",11.36,1.53,10.57,64.17,1.8
"Cheela, bengal gram",15.15,5.31,21.55,46.72,1.03
"Cheela, bengal gram, fermented batter",15.15,5.31,21.55,46.72,1.03
"Cheela, green gram",9.37,1.35,23.88,52.59,0.95
"Cheela, green gram, fermented batter",9.37,1.35,23.88,52.59,0.95
Chicken curry (generic),0.9,11.23,10.55,2.51,1.47
Chicken tikka masala,0.32,13.76,10.87,4.72,4.32
"Chickpeas (Garbanzo beans, Bengal gram), canned",25.22,5.11,18.77,39.56,0.99
"Chickpeas, canned, drained",25.22,5.11,18.77,39.56,0.99
Dal makhani,15.14,6.72,16.69,35.01,1.48
"Dhokla, chickpea and wheat semolina",7.54,4.82,12.61,26.74,2.86
"Dhokla, parboiled rice, Bengal gram, green gram, with chutney",9.54,3.59,17.5,56.97,1.04
"Dosa, foxtail millet and black gram dhal",7.83,2.33,12.59,62.24,1.17
"Dosa, rice and black gram dhal",5.18,0.82,11.87,71.16,0.73
"Dosai (parboiled and raw rice), with chutney",5.3,1.75,11.68,69.68,0.85
Finger millet extruded snack,11.18,1.92,7.16,66.82,0.34
Finger millet flakes upma,9.24,19.72,6.5,53.97,0.3
Finger millet upma,9.24,19.72,6.5,53.97,0.3
Finger millet vermicelli upma,9.24,19.72,6.5,53.97,0.3
"Idli (parboiled and raw rice, black dhal), with chutney",5.54,1.53,10.86,70.51,0.81
"Idli, brown, parboiled rice and black gram dhal, with sambar",5.46,0.8,11.05,70.76,0.73
"Laddu (popped amaranth, foxtail millet, legume, fenugreek)",7.51,3.34,10.9,64.72,21.85
"Lentils, Mothbean, sprouted, cooked in buttermilk",15.12,1.76,19.75,52.09,1.36
"Lentils, brown, canned, drained",16.82,0.64,22.49,48.47,1.63
Naan bread,2.76,0.76,10.36,74.27,1.79
Palak paneer,1.52,9.73,7.59,2.85,1.54
"Parantha, radish, wheat/mothbean/Bengal gram, with curd",9.99,1.88,10.54,48.41,1.72
"Paratha, frozen, heated in dry pan",11.36,1.53,10.57,64.17,1.8
"Pilaf porridge, whole grain",4.43,1.24,9.16,74.8,0.69
"Poha, rice flakes with ground nuts",4.6,21.17,10.2,54.6,1.21
"Pongal, rice and roasted green gram dhal",5.14,7.5,13.56,63.11,0.74
"Poori, deep-fried wheat dough, with potato palya",6.67,5.25,6.18,39.95,1.08
"Porridge, decorticated finger millet, with gram mix",11.18,1.92,7.16,66.82,0.34
"Porridge, scoured wheat, with gram mix",11.23,1.47,10.59,64.72,1.77
"Puttu/Pittu, industrially-milled finger millet flour",10.99,11.79,6.33,51.69,1.81
"Puttu/Pittu, stone-ground finger millet flour",10.99,11.79,6.33,51.69,1.81
"Rajmah (kidney beans), boiled",16.57,1.77,19.91,48.61,1.52
Rice dosa,5.18,0.82,11.87,71.16,0.73
Rice idli (commercial dry mix),4.71,0.76,11.09,72.56,0.72
"Roti (unleavened flatbread), whole wheat flour",11.36,1.53,10.57,64.17,1.8
"Roti, 75% rice flour and 25% soy flour",7.5,5.34,14.85,61.88,1.14
"Stringhoppers, red rice flour, with sambol/egg/gravy",3.9,11.03,8.1,47.38,1.74
"Tahlipeeth, wheat/bengal gram/green gram, with chutney",11.54,3.4,13.25,58.58,1.76
Tandoori chicken,0.0,10.56,15.62,1.31,1.1
"Unpolished foxtail millet, plain cooked",6.39,2.55,8.92,66.19,1.29
"Unpolished little millet, plain cooked",7.72,3.89,10.13,65.55,0.37
"Upittu, roasted semolina and onions",6.33,9.56,7.07,40.89,2.99
Upma,8.47,14.72,10.15,58.21,1.4
